software name,RP Name,overview,core features,tags,research area,research discipline,software type,software class,Software's Web Page,Software Documentation,Tutorials
Tcl,"ACES, Rockfish, Rockfish","Tcl (Tool Command Language) is a dynamic programming language used for various purposes such as scripting, application embedding, and extension. It features a simple syntax, built-in libraries, and extensibility capabilities, making it suitable for rapid prototyping and automation tasks.","Scripting and automation, Embeddability in applications, Cross-platform compatibility","Scripting Language, Automation, Cross-Platform",Scripting Languages,Computer Science,Language,Programming Language,https://www.tcl.tk/,https://www.tcl.tk/man/tcl8.6/TclCmd/contents.html,https://www.tutorialspoint.com/tcl-tk/index.htm
TAU,"OOKAMI, Stampede-2, KyRIC, DARWIN","TAU (Tuning and Analysis Utilities) is a performance analysis toolkit for measuring and diagnosing performance characteristics of parallel programs. It provides profiling, tracing, and visualization tools to optimize the performance of parallel applications across various platforms.","Performance profiling and analysis, Parallel program optimization, Multi-platform support","Performance Analysis, Parallel Computing, Optimization Tool",High-Performance Computing,Computer Science,Tool,Performance Toolkit,,,
SPAdes,"Bridges-2, Rockfish",SPAdes is a genome assembly software that is specifically designed for single-cell and multi-cell bacterial sequencing data. It uses a combination of de Bruijn graph algorithms and error correction methods to construct accurate genome sequences.,"De novo genome assembly, Single-cell sequencing support, Error correction algorithms","Bioinformatics, Genome Assembly, De Bruijn Graph",Genomics,Biology,Tool,Genome Assembly,,,
ATK,ACES,"ATK (Audio ToolKit) is a set of portable audio signal processing tools for software developers. It provides a collection of high-performance C++ classes and functions for digital audio processing, effects, filtering, and analysis.","Portable audio signal processing tools, High-performance C++ classes for audio processing, Supports effects, filtering, and analysis","Audio signal processing, Digital audio",,,Library,Signal Processing,https://gnome.pages.gitlab.gnome.org/atk/,,
gpustat,"ACES, Rockfish","gpustat is a command-line tool that provides real-time monitoring and summary information about GPU utilization, memory usage, and temperature on Linux systems. It is useful for monitoring GPU performance and resource usage.","Real-time monitoring of GPU utilization and memory usage, Display of GPU temperature and other relevant metrics, Support for multiple GPUs and customizable display options","GPU Monitoring, Resource Utilization, Linux System",GPU Computing,Computer Science,GPU Monitoring Tool,Monitoring Tool,,,
SCons,ACES,"SCons is a software construction tool that provides a powerful and flexible build environment for software development projects. It automates the construction process, including compilation, dependency analysis, and installation.","Automated build process, Dependency tracking, Customizable build configurations","Build Automation, Software Development, Open Source",Software Engineering,Computer Science,Tool,Build Tool,,,
ncurses,"OOKAMI, ACES, Rockfish",ncurses is a programming library that provides an API that allows the programmer to write text-based user interfaces in a terminal-independent manner.,"1. Provides functions for moving the cursor, managing windows, handling mouse input, and displaying text in color. 2. Allows the design of text-based user interfaces with panels, menus, and forms. 3. Supports multiple terminal types and terminal emulators. 4. Enables the creation of interactive console applications with a modern look and feel.","programming library, text-based user interfaces, terminal-independent, console applications",,,Development,Library,,,
Autoconf,ACES,"Autoconf is a tool for automatically configuring software source code packages to adapt to specific systems, providing a standardized interface for compatibility checks and configuration settings. It is commonly used in the compilation and installation of software on various platforms.","Automatically configures software source code packages, Standardized interface for compatibility checks, Configuration settings for software installation","Configuration tool, Compatibility checks",,,Tool,Configuration Tool,https://www.gnu.org/software/autoconf/,https://www.gnu.org/software/autoconf/manual/,"https://www.lrde.epita.fr/~adl/autotools.html , https://www.sourceware.org/autobook/ "
libvorbis,ACES,"libvorbis is a library for encoding and decoding audio data in the Vorbis audio codec format. It offers high-quality, open-source audio compression and decompression functions, making it a widely used tool for handling Vorbis audio files.","Vorbis audio codec support, Encoding and decoding audio data, High-quality audio compression, Open-source audio processing","Vorbis codec, audio compression, audio decoding",Audio Compression,Audio Processing,Audio Codec,Library,,,
rsamtools,Rockfish,"Rsamtools is an R package that provides interface utilities for working with SAM (Sequence Alignment/Map) and BAM (Binary Alignment/Map) files. It offers functions for reading, writing, and manipulating sequence alignment data in bioinformatics applications.","SAM/BAM file processing, Sequence alignment, Data manipulation","bioinformatics, sequence alignment, R package",Sequence Analysis,Bioinformatics,Sequence Alignment,Package,,,
GeNT,Bridges-2,"GeNT (Genomic Navigation Tool) is a software tool designed for the annotation and interpretation of genetic variants in the context of gene interactions, pathways, and diseases. It integrates genomic and interactome data to provide insights into the potential functional impact of variations.","Annotating genetic variants, Exploring gene interactions, Analyzing pathways, Linking variants to diseases, Integrating genomic and interactome data","Genetic variants, Annotation, Interactome data, Pathways, Disease association",Variant analysis,Genomics,Bioinformatics tool,Genomic annotation tool,,,
TensorFlow,"DARWIN, ACES, Bridges-2, Rockfish","TensorFlow is an open-source machine learning framework developed by Google for building and training neural networks. It offers a comprehensive ecosystem of tools, libraries, and community resources for developing machine learning models, deep learning applications, and artificial intelligence solutions.","Neural network support, Deep learning capabilities, Model training","machine learning, neural networks, deep learning",Machine Learning,Artificial Intelligence,Machine Learning,Framework,,,
hadoop,Anvil,"Apache Hadoop is an open-source framework for distributed storage and processing of large-scale data sets across clusters of computers. It provides a scalable, reliable, and fault-tolerant platform for big data analytics and processing.","Distributed storage and processing of big data, Scalable framework for handling large-scale datasets, Fault tolerance and high availability for cluster computing","Big Data, Distributed Computing, Cluster Processing",Big Data Analytics,Computer Science,Distributed Processing System,Framework,,,
ITAC,"Stampede-2, KyRIC",Intel Trace Analyzer and Collector (ITAC) is a performance profiling tool that helps developers optimize parallel applications for Intel architectures. It provides insights into application performance and identifies hotspots to make optimization decisions.,"Performance profiling, parallel application optimization, hotspot identification, integration with Intel architectures.","performance profiling, optimization, parallel computing, Intel architectures",High Performance Computing,Computer Science,Compiler/Profiler,Performance Profiling Tools,,,
Octave,"OOKAMI, Bridges-2","Octave is a high-level programming language primarily intended for numerical computations. It provides a command-line interface for solving linear and nonlinear problems numerically, and for performing other numerical experiments using a language that is mostly compatible with MATLAB.","High-level programming language for numerical computations, Command-line interface, Solving linear and nonlinear problems numerically, Compatibility with MATLAB syntax","Numerical Computing, Programming Language, MATLAB Compatible","Numerical Analysis, Computational Mathematics",Mathematics,Programming Language,Scientific Computing,,,
AlphaFold,ACES,"AlphaFold is a deep learning-based software system developed by DeepMind for predicting protein structures with high accuracy. It utilizes neural networks and machine learning to generate 3D models of protein structures, aiding in understanding protein functions and interactions.","Deep learning-based protein structure prediction, High accuracy in predicting protein structures, Utilizes neural networks and machine learning for modeling","Protein structure prediction, Deep learning",Protein Structure Prediction,Bioinformatics,Tool,Protein Prediction Tool,,https://github.com/google-deepmind/alphafold,
Singularity,"Jetstream2, OOKAMI, DARWIN, Bridges-2, Rockfish","Singularity is a containerization platform primarily used in high-performance computing (HPC) and scientific research environments. It enables users to create and run lightweight, portable containers for executing applications, managing dependencies, and ensuring reproducibility of computational workflows across different systems.","Containerization, Reproducibility, Dependency management","HPC, scientific computing, containerization",High-Performance Computing,Computer Science,Research Tool,Container Platform,,,
Compiler32,KyRIC,Compiler32 is a software development tool that provides a reliable and efficient way to compile source code into machine code that can be executed by a computer's processor.,"Compiling source code, Generating machine code, Optimizing code for performance, Debugging capabilities","Compiler, Software Development, Code Optimization, Debugging",Software Engineering,Computer Science,Compiler,Development Tools,,,
HPCToolkit,"Stampede-2, Anvil","HPCToolkit is a suite of performance tools designed for analyzing the performance of parallel and high-performance computing applications. It offers a range of tools for profiling, tracing, and analyzing the behavior of complex programs.","Performance profiling, Tracing and analysis, Support for parallel computing","Performance Analysis, Parallel Computing, Profiling",Performance Optimization,Computer Science,Performance Analysis Tool,Toolkit,,,
BLAST,"Stampede-2, Bridges-2, Rockfish",BLAST (Basic Local Alignment Search Tool) is a powerful bioinformatics software used for comparing nucleotide or protein sequences against databases to identify homologous sequences. It provides rapid sequence similarity searches for various biological studies.,"Sequence alignment tool, Compares nucleotide or protein sequences against databases, Identifies homologous sequences","Bioinformatics, Sequence alignment",Sequence Analysis,Bioinformatics,Tool,Sequence Alignment Tool,https://blast.ncbi.nlm.nih.gov/Blast.cgi,https://www.ncbi.nlm.nih.gov/books/NBK279690/,
Kalign,"ACES, Rockfish","Kalign is a versatile tool for multiple sequence alignment (MSA) that is widely used in bioinformatics and computational biology. It allows for the alignment of multiple sequences, often DNA or protein sequences, to identify common patterns and similarities for evolutionary and functional analysis.","Multiple sequence alignment for DNA and protein sequences, Identification of sequence homology and conserved regions, Alignment scoring and visualization tools","Bioinformatics, Sequence Alignment, Computational Biology",Sequence Analysis,Computational Biology,Bioinformatics Tool,Alignment Tool,,,
libpam,Rockfish,"libpam, or Pluggable Authentication Modules library, is a library for enabling flexible authentication mechanisms in Unix-like systems. It allows developers to implement custom authentication methods and integrate them into the system authentication framework.","Pluggable authentication support, Flexible authentication mechanisms, Custom authentication module integration, User authentication management","authentication, security, Unix systems",Authentication Systems,Computer Security,Authentication,Library,,,
cisTEM,ACES,"cisTEM is a software package for high-resolution single-particle cryo-EM image processing and 3D reconstruction. It provides tools for processing cryo-EM data, performing image analysis, and generating protein structures.","Automated particle picking, 2D classification and data visualization, 3D reconstruction and refinement, Resolution estimation, Model building and validation","cryo-EM image processing, protein structure determination, single-particle analysis, structural biology",Cryo-Electron Microscopy,Structural Biology,Open Source,Image Processing Tools,https://cistem.org/,https://cistem.org/documentation,
NCL,,The NCAR Command Language (NCL) is an interpreted language designed specifically for scientific data analysis and visualization. It is developed by the Computational and Information Systems Laboratory at the National Center for Atmospheric Research (NCAR). NCL is widely used in the atmospheric and earth sciences communities.,1. Powerful data analysis capabilities. 2. Extensive visualization tools for creating publication-quality graphics. 3. Support for a wide range of file formats commonly used in scientific research. 4. Ability to handle large and complex datasets efficiently. 5. Integration with other scientific computing languages and tools.,"scientific data analysis, visualization, earth sciences, atmospheric sciences",Atmospheric Sciences,Earth Sciences,Interpreted Language,Data Analysis and Visualization,,,
SentencePiece,ACES,"SentencePiece is an unsupervised text tokenizer and detokenizer for neural network-based models. It allows you to train subword tokenizers directly from text data, enabling efficient handling of various languages and text normalization tasks.","Unsupervised text tokenization, Subword tokenization models, Byte pair encoding (BPE) algorithm","Natural Language Processing, Tokenization, Neural Networks",Natural Language Processing,Computer Science,Library,Tokenization Tool,,,
Theano,"ACES, Bridges-2","Theano is an open-source numerical computation library for deep learning research, development, and deployment. It allows users to define, optimize, and evaluate mathematical expressions involving multi-dimensional arrays efficiently, making it popular for building and training neural networks.","Symbolic math expressions, GPU computation optimization, Deep learning model development","Deep Learning, Numerical Computation, Open Source",Deep Learning,Computer Science,Library,Numerical Library,,,
Picard,"Bridges-2, Rockfish","Picard is a set of Java command line tools for manipulating high-throughput sequencing (HTS) data and formats such as SAM/BAM/CRAM and VCF. It is used to perform various tasks such as data format conversions, quality control, metrics generation, and other sequence analysis procedures.","Data format conversion, quality control, metrics generation, sequence analysis, HTS data manipulation","Bioinformatics, Sequence Analysis, High-Throughput Sequencing, Data Manipulation",Genomics,Bioinformatics,Command Line Tools,HTS Data Manipulation,https://broadinstitute.github.io/picard/,https://broadinstitute.github.io/picard/command-line-overview.html#Overview,"https://gatk.broadinstitute.org/hc/en-us,https://broadinstitute.github.io/picard/index.html#QuickStart"
atlas,Rockfish,"ATLAS (Automatically Tuned Linear Algebra Software) is a highly optimized library for linear algebra operations, providing efficient implementations of BLAS and LAPACK routines. It offers performance-tuned kernels for various CPU architectures to enhance the execution of linear algebra computations.","Optimized linear algebra routines, BLAS and LAPACK implementations, Performance-tuned kernels","Linear algebra, Optimization, Mathematics",High-performance computing,Mathematics,Linear algebra software,Math library,https://sourceforge.net/projects/math-atlas/,,https://math-atlas.sourceforge.net/atlas_install/index.html
Map,,"Map is a software used for geographical mapping and spatial data analysis. It allows users to visualize, analyze, and interpret spatial data to understand patterns, trends, and relationships in a geographic context.","Geographical mapping, Spatial data analysis, Data visualization, Spatial pattern identification, Geospatial data interpretation","mapping, geospatial analysis, spatial data, visualization",Geospatial analysis,Geography,Desktop application,GIS,,,
PETSc,"OOKAMI, Stampede-2, Anvil, ACES, Delta","PETSc, also known as Portable, Extensible Toolkit for Scientific Computation, is a suite of data structures and routines for the scalable (parallel) solution of scientific applications modeled by partial differential equations. It employs the MPI standard for all message-passing communication.","Scalable solution of partial differential equations, Supports various parallel computing architectures, Efficient data structures and solvers for numerical computations","scientific computing, parallel computing, numerical methods",numerical analysis,computational science,HPC tool,library,https://petsc.org/,https://petsc.org/main/manual/,"https://petsc.org/main/tutorials/,https://petsc.org/main/install/,https://petsc.org/main/install/install_tutorial/"
pixman,"ACES, Rockfish","Pixman is a low-level software library for pixel manipulation, providing various low-level optimizations for rasterization, compositing, and other image processing operations.","1. Low-level pixel manipulation
2. Rasterization optimizations
3. Compositing capabilities
4. Image processing operations","pixel manipulation, image processing, rasterization, compositing","Computer Graphics, Image Processing",Computer Science,Low-level,Library,https://www.pixman.org/,https://www.pixman.org/,"https://www.cairographics.org/tutorial/,https://cairographics.org/samples/,https://cairographics.org/FAQ/,https://cairographics.org/documentation/"
Basespace,Rockfish,"Basespace is an Illumina cloud-based platform for bioinformatics analysis and management of genomics data, providing tools for sequencing data analysis, collaboration, and sharing.","Automated bioinformatics pipelines for sequencing data analysis, Secure cloud storage and sharing of genomics data, Integration with popular bioinformatics tools and databases, Collaboration features for sharing results and workflows","bioinformatics, genomics data analysis, cloud platform",Bioinformatics,Genomics,Service,Bioinformatics Platform,https://www.illumina.com/products/by-type/informatics-products/basespace-sequence-hub.html,https://help.basespace.illumina.com/,
ccache,ACES,"ccache is a compiler cache tool that speeds up compilation by caching previous compilation results and reusing them when possible. It can significantly reduce compilation times, especially in software development workflows.","Caching of compiled object files, Automatic reuse of cached results, Support for multiple compilers, Reduction of redundant recompilations, Integration with build systems","compiler cache, build optimization, software development, compilation speed-up",Software Development,Computer Science,Open Source,Build Tools,https://ccache.dev/,https://ccache.dev/manual/latest.html,https://linux.die.net/man/1/ccache
SRA,,SRA (Sequence Read Archive) is a publicly available repository maintained by the National Center for Biotechnology Information (NCBI) that collects and stores high-throughput sequencing data. It enables researchers to access and analyze genetic data from various organisms.,"Storage of sequence read data, Metadata annotation, Data search and retrieval","Bioinformatics, Genomics Data, Data Repository",Genomics,Biology,Platform,Data Repository,,,
Abaqus,"Stampede-2, DARWIN, Rockfish","Abaqus is a finite element analysis software widely used for simulating and analyzing complex mechanical and structural behaviors in engineering applications. It offers a comprehensive suite of tools for simulation, modeling, and optimization of structures under various loading conditions.","Finite element analysis software, Simulates complex mechanical and structural behaviors, Tools for modeling and optimization","Finite element analysis, Structural analysis",,,Tool,Simulation,https://www.3ds.com/products-services/simulia/products/abaqus,,
Highcharts,,"Highcharts is a JavaScript charting library that makes it easy for developers to add interactive charts to web and mobile projects. It offers a wide range of chart types, including line, bar, pie, scatter, and more, with support for animations, tooltips, and zooming. Highcharts is highly customizable and can be integrated with various front-end frameworks and back-end technologies.","Support for a wide variety of chart types, Interactive features like tooltips and zooming, Easy customization through CSS styling and configuration options, Compatibility with different platforms and devices, Extensive documentation and active community support","JavaScript, Charting Library, Data Visualization, Web Development",,,Library,Charting,,,
statsmodels,ACES,"Statsmodels is a Python library for estimating and interpreting various statistical models. It provides a wide range of tools for statistical analysis, hypothesis testing, regression modeling, time series analysis, and more. Statsmodels is widely used in data science, econometrics, and academic research.","Statistical modeling, Hypothesis testing, Regression analysis","Python library, statistical analysis, data modeling",Data Science,Statistics,Statistical Modeling,Library,,,
HDF5,"OOKAMI, Stampede-2, Anvil, ACES, Delta, Bridges-2, Rockfish","HDF5 (Hierarchical Data Format version 5) is a file format and library designed for the management and storage of large and complex data collections. It supports various data types, compression, and parallel I/O.","Hierarchical data storage, Support for large and complex datasets, Compression and chunking","Data Management, Data Storage, File Format",Data Storage,Data Science,Data Management Tool,Library,,,
p4est,Stampede-2,p4est is a software library for parallel computation involving adaptive mesh refinement. It primarily focuses on parallel forest-of-octrees data structures and algorithms.,"Support for parallel computation, Adaptive mesh refinement, Forest-of-octrees data structures, High-performance algorithms","parallel computation, adaptive mesh refinement, parallel forest-of-octrees, high-performance computing",Numerical Analysis,Computational Mathematics,Parallel Computing,Library,https://www.p4est.org/,https://p4est.github.io/api/p4est-latest/index.html,"https://p4est.github.io/p4est-howto.pdf,https://github.com/cburstedde/p4est/tree/master/example/steps/"
MCell,Bridges-2,"MCell is a modeling and simulation tool for cellular biology, specifically focusing on spatial and stochastic simulation of complex biochemical systems.","Spatial and stochastic simulation, Modeling complex biochemical systems, Integrated visualization tools","cellular biology, bioinformatics, simulation, modeling, visualization",Cellular Biology,Life Sciences,Bioinformatics Tool,Simulation Tool,,,
Tecplot,DARWIN,"Tecplot is a powerful visualization and analysis software used for visualizing scientific and engineering data. It offers a range of tools for generating high-quality plots, 2D/3D visualizations, and post-processing capabilities to analyze complex data sets.","Advanced data visualization, Engineering and scientific plotting, Interactive data analysis tools","Data Visualization, Engineering Analysis, Visualization Software",Data Visualization,Engineering,Software,Visualization Tool,,,
DDT,"Stampede-2, Bridges-2",DDT (Data Debugging Tool) is a parallel program debugging tool designed to help programmers find bugs in their MPI (Message Passing Interface) programs through a user-friendly interface.,"Identifying bugs in MPI programs, User-friendly interface, Debugging support for parallel programs","debugging tool, MPI programs, parallel programming",Parallel Computing,Computer Science,MPI Debugger,Debugging Tool,,,
Fontconfig,"ACES, Rockfish","Fontconfig is a library and utility used for configuring and customizing font settings on Unix-like systems. It provides a powerful tool for managing and accessing fonts, defining font families, and handling font rendering options across applications.","Font configuration and management, Support for font matching and substitution, Font cache management, Definition of font properties, Customization of font rendering","font management, font configuration, font rendering, Unix utilities",Font Rendering,Computer Science,Open Source,Configuration Tools,,,
ncdf4,Rockfish,"ncdf4 is an R package used for creating, reading, and writing netCDF files in a simple and efficient manner.","1. Creation, reading, and writing of netCDF files. 2. Easy manipulation of netCDF variables and attributes. 3. Support for large netCDF files. 4. Integration with R language for data analysis and visualization.","netCDF, R package, data manipulation, file I/O","Climate Science, Environmental Science",Data Science,Library,Data Processing,,,
WRF,"DARWIN, ACES","WRF (Weather Research and Forecasting Model) is a numerical weather prediction system used for atmospheric research and operational weather forecasting applications. It simulates atmospheric phenomena to create forecasts, predict climate patterns, and analyze meteorological data.","Numerical weather prediction, Atmospheric modeling, Climate analysis and research","Meteorology, Weather Forecasting, Atmospheric Research",Numerical Weather Prediction,Meteorology,Tool,Modeling System,,,
Conda,Bridges-2,"Conda is an open-source package management system and environment management system widely used for installing, managing, and deploying software packages and dependencies across various platforms. It simplifies package installation and distribution for data science, machine learning, and scientific computing.","Package management and environment management system, Simplified software package installation, Support for data science, machine learning, and scientific computing","Package management, Environment management",,,Tool,Package Management,,,
osu,,"osu! is a free-to-play online rhythm game developed and published by Australian developer Dean Herbert. It was released for Microsoft Windows in September 2007. In osu!, players use a pointing device to manipulate on-screen objects to a set rhythm. The game features multiple game modes, such as osu!standard, osu!taiko, osu!catch, osu!mania, each with different gameplay mechanics.","Rhythm-based gameplay, User-generated content, Multiplayer mode, Leaderboards, Customizable skins and beatmaps","rhythm game, online game, music, rhythm-based",,,Entertainment,Game,,,
NLopt,ACES,NLopt is an open-source library for nonlinear optimization that provides a common interface for a number of different optimization algorithms. It is written in C with wrappers for several other programming languages.,"NLopt offers many different algorithms for nonlinear optimization, including local derivative-free, local gradient-based, and global optimization algorithms. It allows for easy switching between different algorithms and supports both unconstrained and constrained optimization problems.","optimization, nonlinear optimization, library, open-source",Optimization,Mathematics,Library,Optimization library,,,
MUMPS,"Stampede-2, ACES",MUMPS (MUltifrontal Massively Parallel sparse direct Solver) is a software library for the solution of large sparse unsymmetric linear systems of equations.,1. High-performance solution of large sparse linear systems. 2. Ability to handle both real and complex symmetric and unsymmetric matrices. 3. Support for distributed memory parallelism for scalability on large HPC systems. 4. Integration with various programming languages including Fortran and C.,"linear-algebra, sparse-matrix, HPC, parallel-computing",Computational Mathematics,Computer Science,Solver,Numerical Library,,,
Git,"Expanse, OOKAMI, Stampede-2, ACES, Delta, Bridges-2, Rockfish",Git is a distributed version control system designed to handle everything from small to very large projects with speed and efficiency. It is commonly used for source code management in software development.,"Distributed version control system, Supports non-linear development, Branching and merging, Fast performance","Version Control, Software Development, Collaboration, Source Code Management",,,Tool,Version Control System,,,
pytest,ACES,"Pytest is a popular testing framework for Python that enables efficient and flexible testing of Python code. It simplifies the process of writing and running tests, supports various testing methodologies, and provides detailed reporting functionalities for test results.","Test automation, Fixture support, Parametrized testing","testing, Python, test automation",Software Testing,Software Engineering,Testing,Framework,,,
Panoply,Anvil,"Panoply is a cross-platform application that plots geo-referenced and other arrays from netCDF, HDF, GRIB, and other datasets.","Plotting geo-referenced arrays, Visualizing data from netCDF, HDF, and GRIB datasets, Cross-platform compatibility","Data Visualization, Plotting, NetCDF, HDF, GRIB","Climate Science, Meteorology, Geophysics",Earth Sciences,Plotting Tool,Data Visualization Tool,,,
OpenMPI,"Expanse, OOKAMI, ACES, Bridges-2, Rockfish",OpenMPI is an open-source Message Passing Interface (MPI) implementation that allows developers to efficiently and easily create parallel computing applications. It provides a standardized and efficient way for applications to communicate and synchronize with each other on distributed memory systems.,"Support for various programming languages such as C, C++, and Fortran, Dynamic process management, Portable and scalable, Support for multi-threaded application support, Wide range of collective operations","parallel computing, message passing interface, high performance computing",parallel computing,computer science,Library/Tool,MPI Implementation,https://www.open-mpi.org/,https://www.open-mpi.org/doc/,"https://www.open-mpi.org/faq/?category=running#mpi-environmental-variables,https://www.open-mpi.org/video/"
x264,ACES,"x264 is an open-source software library for encoding video streams into the H.264/MPEG-4 AVC format. It provides a highly efficient and high-quality encoding solution widely used in video compression, streaming, and multimedia applications. x264 offers advanced encoding parameters for optimizing compression and video quality.","Fast and high-quality H.264 video encoding, Fine-tuned compression settings for quality and performance, Support for various encoding profiles and settings, Integration with multimedia applications and video processing pipelines","video encoding, H.264 compression, multimedia library",Video Compression,Multimedia Processing,Video Encoder,Library,https://www.videolan.org/developers/x264.html,https://wiki.videolan.org/Documentation:Modules/x264/,"https://trac.ffmpeg.org/wiki/Encode/H.264,"
Python,"OOKAMI, DARWIN, ACES, Delta, Rockfish","Python is a high-level programming language known for its simplicity and readability. It is versatile and widely used in various fields including web development, data science, automation, and more.","Simple and easy-to-read syntax, Extensive standard library, Support for multiple programming paradigms","General Purpose, Programming Language, Open Source",Artificial Intelligence,Computer Science,Language,Development Environment,https://www.python.org/,https://docs.python.org,"https://docs.python.org/tutorial/,https://www.learnpython.org/,https://www.w3schools.com/python/,https://realpython.com/,https://www.codecademy.com/learn/learn-python-3,https://www.python.org/doc/essays/"
GDAL,"ACES, Rockfish","GDAL (Geospatial Data Abstraction Library) is a popular open-source library for raster and vector geospatial data formats. It provides tools and utilities for reading, writing, and processing geospatial data across different formats and coordinate systems.","Support for numerous geospatial data formats, Data translation and transformation, Raster and vector data processing, Georeferencing capabilities, Integration with GIS applications","geospatial data processing, GIS software, data format conversion, georeferencing",Geospatial Data Processing,Geospatial Analysis,Open Source,Geospatial Library,,,
ROOT,ACES,"ROOT is a framework for data processing, analysis, and visualization developed at CERN. It is widely used in high-energy physics for managing and analyzing large data sets, providing a range of tools for scientific computing.","Data processing and analysis, Histogramming and fitting, Visualization and plotting tools","High-Energy Physics, Data Analysis, Scientific Computing",Particle Physics,Physics,Library,Framework,,,
diffutils,,"diffutils is a set of GNU utilities that provide file comparison and directory comparison functionalities. The tools within diffutils allow users to find differences between files, generate patch files, and perform line-by-line comparisons.","File comparison utility (diff), Directory comparison tool (diff directories), Generation and application of patches (patch), Unified and context diffs, Customizable diff output","file comparison, directory comparison, patch generation, GNU utilities",File Comparison,Computer Science,Open Source,Utility Tools,,,
MATIO,ACES,MATIO is a software library for reading and writing MATLAB MAT file format data. It enables seamless integration of MATLAB data into various programming languages and environments by providing functions to work with MAT files directly.,"Read and write MATLAB MAT file format data, Integration of MATLAB data into other environments, Flexible data transfer capabilities, Support for various programming languages, Easy access to MATLAB data structures","MAT file format, Data integration, Cross-platform","MATLAB Integration, Data Transfer","Computer Science, Data Analysis",Data Processing,Library,,,
impi,"Stampede-2, ACES","The Intel MPI Library, a multi-fabric message passing library that implements the widely used MPI standard, is optimized for high performance on Intel architecture-based clusters. It allows applications to scale with increasing core count and interconnect bandwidth.","Optimized for Intel architecture-based clusters, Supports multiple fabric types, High performance on clusters of various sizes, Scalability with increasing core count and interconnect bandwidth","MPI Library, High Performance Computing, Cluster Computing, Message Passing Interface",Parallel Computing,Computer Science,HPC Tool,Library,,,
bowtie2,"Bridges-2, Rockfish","Bowtie 2 is an ultrafast and memory-efficient tool for aligning sequencing reads to large genomes. It is designed as an improved version of the original Bowtie aligner, offering enhanced performance and capabilities.","Fast and sensitive read alignment, Support for gapped alignments, Alignment of short and long reads, Improved detection of structural variations, Paired-end and single-end mapping","sequence alignment, short read mapping, bioinformatics analysis, high-throughput sequencing",Sequence Alignment,Genomics,Open Source,Bioinformatics Tools,https://bowtie-bio.sourceforge.net/bowtie2/index.shtml,https://bowtie-bio.sourceforge.net/bowtie2/manual.shtml,
CheckM,Bridges-2,"CheckM is a software tool used for assessing the quality and completeness of microbial genome bins derived from metagenomic data. It performs genome and marker gene-based assessments to evaluate genome binning accuracy, contamination levels, and completeness in microbial communities.","Quality assessment of microbial genome bins, Genome and marker gene-based evaluations, Analysis of genome binning accuracy and completeness","Microbial genomics, Metagenomic analysis",Metagenomics,Microbiology,Tool,Genome Analysis Tool,,,
PostgreSQL,Jetstream2,"PostgreSQL is a powerful open-source relational database management system known for its advanced features, extensibility, and reliability. It offers ACID compliance, full support for SQL queries, and a rich set of data types, making it a popular choice for enterprise-level applications.","Relational database management system, ACID compliance, SQL query support, Extensible features, Data integrity and reliability","Relational database, SQL, Data management","Relational Databases, Query Optimization","Computer Science, Database Management",Database,Database Management System,,,
IGV,Rockfish,"Integrative Genomics Viewer (IGV) is a high-performance genomics visualization tool that allows users to explore and analyze large-scale genomics data interactively. It is widely used in genomics research for visualizing genetic variants, gene expression, and epigenetic data.","Visualization of genomics data with interactive features, Support for genetic variants, gene expression, and epigenetic data, Advanced plotting and data exploration capabilities","Genomics, Data Visualization, Research Tool",Data Analysis,Genomics,Genomics Tool,Visualization Tool,,,
msrsync,Rockfish,msrsync is a utility to efficiently synchronize large genomic data sets using a combination of rsync and multi-segmented rsync (MSRSync) techniques.,"Efficient synchronization of large genomic datasets, Utilizes rsync and multi-segmented rsync (MSRSync) methods, Designed for high-performance and large-scale data transfer, Supports parallel processing for faster synchronization","data synchronization, genomic data, high-performance computing",Genomics,Bioinformatics,Utility,Data Management/Transfer,,,
CoordgenLibs,ACES,"CoordgenLibs is a set of libraries for handling chemical structure generation and manipulation tasks. It aims to provide developers with tools to generate, edit, and analyze chemical structures in various formats.","Generation of 2D and 3D coordinates for chemical structures, Editing and manipulation of chemical structures, Support for various chemical structure formats, Integration with other cheminformatics tools","cheminformatics, chemical structures, molecular modeling",Cheminformatics,Chemistry,Chemical structure generation,Library,,,
GTK2,ACES,"GTK2 is the second major version of the GTK (GIMP Toolkit) library, which is a popular framework for creating graphical user interfaces in Linux and Unix systems. It provides tools, widgets, and features to develop visually appealing and interactive desktop applications with support for various programming languages.","Graphical user interface toolkit, Widgets and tools for desktop applications, Cross-platform support with a focus on Linux and Unix","GUI toolkit, Desktop application development",,,Framework,GUI Library,,,
Greenlet,ACES,"Greenlet is a lightweight, micro-threading library for Python that provides a way to work with micro-threads without the overhead of full-blown threading libraries.","Lightweight micro-threading, Efficient context switching, Simplified concurrency in Python","Python, Threading, Concurrency",Concurrency,Computer Science,Threading Library,Library,,,
